tid,item_1,item_2,item_3
61,Item_18184,Item_41314,Item_496
62,Item_15109,Item_27702,Item_7013
63,Item_33612,Item_5944,Item_33299
64,Item_32970,Item_36515,Item_36350
65,Item_16034,Item_5387,Item_30733
66,Item_1871,Item_11823,Item_11511
67,Item_18546,Item_27340,Item_15498
68,Item_15857,Item_48160,Item_40411
69,Item_31741,Item_31093,Item_14546
70,Item_49569,Item_46803,Item_12798
71,Item_26657,Item_14940,Item_2246
72,Item_44584,Item_7577,Item_49617
73,Item_44539,Item_42281,Item_11171
74,Item_15797,Item_23477,Item_25942
75,Item_16779,Item_20511,Item_33083
76,Item_37340,Item_4724,Item_36831
77,Item_46840,Item_47387,Item_266
78,Item_3383,Item_6138,Item_41556
79,Item_37336,Item_18361,Item_8964
80,Item_2240,Item_9822,Item_43727
81,Item_38870,Item_49900,Item_16021
82,Item_21685,Item_25037,Item_7195
83,Item_11483,Item_13965,Item_8714
84,Item_6092,Item_48465,Item_33882
85,Item_38310,Item_46374,Item_34713
86,Item_40207,Item_43215,Item_9989
87,Item_36949,Item_41298,Item_4220
88,Item_28364,Item_46379,Item_6188
89,Item_48655,Item_6611,Item_15048
90,Item_47782,Item_33142,Item_15687
91,Item_24959,Item_46240,Item_48013
92,Item_7411,Item_27759,Item_31699
93,Item_37442,Item_36165,Item_7017
94,Item_29803,Item_8299,Item_48310
95,Item_36915,Item_21604,Item_40218
96,Item_892,Item_39237,Item_42349
97,Item_41471,Item_14397,Item_12526
98,Item_11632,Item_16712,Item_26539
99,Item_37668,Item_46660,Item_43387
100,Item_5945,Item_20628,Item_18710
101,Item_32596,Item_5687,Item_48131
102,Item_26551,Item_12392,Item_22694
103,Item_49728,Item_37300,Item_42043
104,Item_5264,Item_3328,Item_44081
105,Item_7309,Item_17893,Item_9616
106,Item_15517,Item_46168,Item_7194
107,Item_7794,Item_8277,Item_29927
108,Item_5775,Item_7681,Item_22783
109,Item_9742,Item_2770,Item_35451
110,Item_2669,Item_29558,Item_21463
111,Item_41411,Item_19682,Item_40154
112,Item_25226,Item_36800,Item_43751
113,Item_24655,Item_2174,Item_26825
114,Item_11837,Item_12470,Item_11404
115,Item_20813,Item_14114,Item_47441
116,Item_46290,Item_18680,Item_26188
117,Item_41673,Item_5338,Item_4666
118,Item_46241,Item_34469,Item_4956
119,Item_45132,Item_40034,Item_11994
120,Item_40100,Item_38974,Item_28968
121,Item_36953,Item_38950,Item_30813
122,Item_26803,Item_16154,Item_25712
123,Item_41684,Item_39207,Item_23140
124,Item_12490,Item_13324,Item_31977
125,Item_21681,Item_8257,Item_23894
126,Item_18376,Item_11629,Item_16912
127,Item_21695,Item_36846,Item_16375
128,Item_34286,Item_11773,Item_14844
129,Item_33541,Item_42710,Item_45817
130,Item_16418,Item_23025,Item_26772
131,Item_24462,Item_32629,Item_10118
132,Item_38314,Item_31646,Item_26636
133,Item_1758,Item_36744,Item_8836
134,Item_25165,Item_34739,Item_43036
135,Item_31811,Item_30719,Item_47624
136,Item_36285,Item_4225,Item_29039
137,Item_6871,Item_36170,Item_47997
138,Item_40043,Item_29685,Item_20336
139,Item_39755,Item_49831,Item_46569
140,Item_36093,Item_29504,Item_12669
141,Item_30808,Item_8386,Item_26027
142,Item_28622,Item_28247,Item_393
143,Item_33963,Item_26132,Item_36388
144,Item_24608,Item_25885,Item_39961
145,Item_42253,Item_46561,Item_6957
146,Item_5855,Item_4386,Item_36061
147,Item_20930,Item_36440,Item_46082
148,Item_33561,Item_36526,Item_16682
149,Item_31725,Item_38126,Item_40855
150,Item_26610,Item_15722,Item_18209
151,Item_48063,Item_7390,Item_4313
152,Item_19166,Item_36874,Item_21895
153,Item_27650,Item_8800,Item_47454
154,Item_30634,Item_23969,Item_39014
155,Item_32595,Item_49331,Item_245
156,Item_5924,Item_21190,Item_47558
157,Item_31854,Item_6138,Item_43895
158,Item_34305,Item_29412,Item_1619
159,Item_22716,Item_4784,Item_36130
160,Item_48415,Item_22928,Item_14768
161,Item_605,Item_15097,Item_25778
162,Item_39064,Item_5530,Item_27245
163,Item_34225,Item_43960,Item_2209
164,Item_41844,Item_5321,Item_2161
165,Item_1199,Item_6827,Item_33284
166,Item_34036,Item_4522,Item_44852
167,Item_22665,Item_12042,Item_12296
168,Item_9911,Item_40417,Item_38837
169,Item_32813,Item_45472,Item_14445
170,Item_272,Item_7817,Item_2583
171,Item_40074,Item_48160,Item_49001
172,Item_42469,Item_12244,Item_2862
173,Item_48408,Item_46389,Item_6012
174,Item_41900,Item_34905,Item_40990
175,Item_5687,Item_10089,Item_22809
176,Item_25226,Item_37260,Item_26992
177,Item_22440,Item_42556,Item_4302
178,Item_2652,Item_9653,Item_36730
179,Item_4999,Item_35495,Item_26128
180,Item_2726,Item_25466,Item_30576
181,Item_2118,Item_219,Item_10957
182,Item_8657,Item_35478,Item_20578
183,Item_38512,Item_9177,Item_18819
184,Item_39205,Item_27151,Item_22928
185,Item_28621,Item_22328,Item_43633
186,Item_47300,Item_15068,Item_27063
187,Item_12875,Item_26877,Item_34989
188,Item_47028,Item_7422,Item_7896
189,Item_45686,Item_34543,Item_20202
190,Item_48670,Item_5961,Item_6705
191,Item_4671,Item_30735,Item_15235
192,Item_20039,Item_30549,Item_31732
193,Item_42006,Item_20439,Item_7672
194,Item_30079,Item_29415,Item_15853
195,Item_23864,Item_14933,Item_20920
196,Item_11280,Item_28623,Item_4763
197,Item_29485,Item_27352,Item_35100
198,Item_15811,Item_30832,Item_32621
199,Item_17135,Item_9849,Item_27457
200,Item_31300,Item_26319,Item_18033
201,Item_36835,Item_40414,Item_27916
202,Item_46052,Item_42511,Item_25182
203,Item_12297,Item_39993,Item_13438
204,Item_19196,Item_24708,Item_41868
205,Item_2798,Item_3603,Item_43427
206,Item_14031,Item_2779,Item_3883
207,Item_8650,Item_36539,Item_24378
208,Item_37134,Item_735,Item_45139
209,Item_35307,Item_20761,Item_42827
210,Item_11971,Item_7681,Item_30043
211,Item_18246,Item_25415,Item_25088
212,Item_38606,Item_49772,Item_22479
213,Item_38529,Item_34383,Item_7203
214,Item_32045,Item_19392,Item_46282
215,Item_37827,Item_33747,Item_10453
216,Item_8188,Item_8296,Item_35575
217,Item_47901,Item_46017,Item_49456
218,Item_49517,Item_41952,Item_40081
219,Item_42148,Item_25145,Item_22412
220,Item_41772,Item_37767,Item_4003
221,Item_23466,Item_45947,Item_23985
222,Item_12204,Item_9046,Item_45356
223,Item_11643,Item_9629,Item_31604
224,Item_49780,Item_24509,Item_29323
225,Item_13444,Item_4206,Item_696
226,Item_42178,Item_31880,Item_42706
227,Item_20340,Item_33510,Item_39723
228,Item_2906,Item_36247,Item_18331
229,Item_16923,Item_44058,Item_46570
230,Item_24128,Item_26567,Item_38432
231,Item_25240,Item_18493,Item_21544
232,Item_42514,Item_29356,Item_6009
233,Item_29145,Item_42399,Item_24941
234,Item_5249,Item_1097,Item_19928
235,Item_31541,Item_19576,Item_31448
236,Item_15824,Item_9581,Item_16943
237,Item_34540,Item_30397,Item_46373
238,Item_29924,Item_15377,Item_7121
239,Item_20776,Item_13901,Item_8515
240,Item_31688,Item_35674,Item_49091
241,Item_43950,Item_23875,Item_49239
242,Item_36035,Item_25754,Item_45165
243,Item_39100,Item_31168,Item_23037
244,Item_25356,Item_5705,Item_36621
245,Item_48077,Item_32483,Item_27655
246,Item_5363,Item_49229,Item_48489
247,Item_41072,Item_36687,Item_48518
248,Item_236,Item_6194,Item_17324
249,Item_25408,Item_48163,Item_38867
250,Item_23249,Item_42991,Item_49276
251,Item_12096,Item_20579,Item_3702
252,Item_4241,Item_27774,Item_11097
253,Item_46235,Item_13305,Item_22224
254,Item_2753,Item_1849,Item_18636
255,Item_18449,Item_5465,Item_46579
256,Item_38687,Item_32851,Item_35662
257,Item_36971,Item_36992,Item_19672
258,Item_11727,Item_45390,Item_2449
259,Item_22188,Item_42906,Item_11683
260,Item_33865,Item_25731,Item_13149
261,Item_37981,Item_20068,Item_34991
262,Item_33580,Item_11883,Item_12733
263,Item_26209,Item_17402,Item_38981
264,Item_29517,Item_14947,Item_35482
265,Item_5728,Item_13741,Item_27484
266,Item_33966,Item_9380,Item_4241
267,Item_22492,Item_35882,Item_21245
268,Item_31912,Item_49936,Item_14819
269,Item_5968,Item_26708,Item_6841
270,Item_49878,Item_42783,Item_35045
271,Item_19619,Item_3015,Item_24791
272,Item_17203,Item_6719,Item_24845
273,Item_17544,Item_3359,Item_4121
274,Item_884,Item_15091,Item_22664
275,Item_44035,Item_22486,Item_17165
276,Item_47959,Item_37599,Item_48116
277,Item_14227,Item_49024,Item_17336
278,Item_11755,Item_28023,Item_16268
279,Item_26477,Item_15300,Item_49200
280,Item_30994,Item_32672,Item_29537
281,Item_12069,Item_14985,Item_42729
282,Item_17351,Item_43716,Item_7772
283,Item_3032,Item_28074,Item_12531
284,Item_31745,Item_39190,Item_21920
285,Item_49735,Item_47495,Item_29452
286,Item_45128,Item_33579,Item_40731
287,Item_8560,Item_23513,Item_9259
288,Item_32647,Item_21357,Item_5095
289,Item_46733,Item_38976,Item_25637
290,Item_46901,Item_1793,Item_47989
291,Item_2563,Item_2054,Item_14682
292,Item_22756,Item_49230,Item_3277
293,Item_2376,Item_15629,Item_39507
294,Item_31778,Item_5580,Item_19226
295,Item_22464,Item_34909,Item_44888
296,Item_24526,Item_19707,Item_15103
297,Item_84,Item_14500,Item_7574
298,Item_62,Item_8129,Item_43137
299,Item_24475,Item_1463,Item_13742
300,Item_21566,Item_39030,Item_27558
301,Item_11451,Item_13018,Item_26486
302,Item_12124,Item_45708,Item_23994
303,Item_11413,Item_37198,Item_16667
304,Item_2429,Item_46518,Item_24132
305,Item_9568,Item_35578,Item_43197
306,Item_6911,Item_15951,Item_2369
307,Item_46645,Item_463,Item_4491
308,Item_1565,Item_7678,Item_5532
309,Item_4443,Item_23775,Item_12082
310,Item_42472,Item_29509,Item_34373
311,Item_26663,Item_14033,Item_42668
312,Item_8137,Item_44835,Item_38647
313,Item_14557,Item_12713,Item_12424
314,Item_22722,Item_48413,Item_30172
315,Item_18077,Item_3973,Item_36707
316,Item_39961,Item_27409,Item_15920
317,Item_14822,Item_25770,Item_10818
318,Item_41163,Item_15882,Item_3906
319,Item_19167,Item_17324,Item_36794
320,Item_8275,Item_32958,Item_36260
321,Item_36929,Item_41298,Item_15075
322,Item_7397,Item_29692,Item_44500
323,Item_7186,Item_38820,Item_33512
324,Item_25365,Item_39718,Item_8647
325,Item_46209,Item_201,Item_13249
326,Item_29232,Item_49653,Item_28890
327,Item_44865,Item_28634,Item_4556
328,Item_8271,Item_31090,Item_26809
329,Item_22360,Item_36080,Item_2526
330,Item_14738,Item_17175,Item_33182
331,Item_2596,Item_9488,Item_909
332,Item_42369,Item_11564,Item_43695
333,Item_30983,Item_9263,Item_30538
334,Item_19808,Item_33882,Item_37583
335,Item_38154,Item_28347,Item_13384
336,Item_49169,Item_7490,Item_20964
337,Item_624,Item_47130,Item_1759
338,Item_21401,Item_26011,Item_20399
339,Item_32871,Item_38610,Item_44482
340,Item_34128,Item_7469,Item_23440
341,Item_34099,Item_8922,Item_13269
342,Item_49176,Item_45630,Item_42948
343,Item_17132,Item_23490,Item_44000
344,Item_43917,Item_18953,Item_32294
345,Item_4439,Item_37086,Item_32639
346,Item_28497,Item_39147,Item_47487
347,Item_38933,Item_45198,Item_34975
348,Item_25144,Item_4994,Item_39904
349,Item_37180,Item_22791,Item_21551
350,Item_48960,Item_49401,Item_18858
351,Item_46562,Item_31438,Item_44378
352,Item_15956,Item_30438,Item_17405
353,Item_19234,Item_510,Item_20457
354,Item_25214,Item_23383,Item_46768
355,Item_16902,Item_18135,Item_18860
356,Item_8144,Item_16613,Item_6556
357,Item_2339,Item_16974,Item_1185
358,Item_12180,Item_4947,Item_9910
359,Item_44051,Item_17191,Item_29210
360,Item_10105,Item_9289,Item_48782
361,Item_23421,Item_22736,Item_2853
362,Item_24075,Item_430,Item_2259
363,Item_12237,Item_33675,Item_32626
364,Item_11702,Item_12622,Item_5535
365,Item_15634,Item_38240,Item_15082
366,Item_45081,Item_49229,Item_5262
367,Item_47650,Item_29431,Item_17742
368,Item_15224,Item_47064,Item_6890
369,Item_21258,Item_4849,Item_40825
370,Item_27119,Item_30837,Item_20128
371,Item_12663,Item_22717,Item_4091
372,Item_42595,Item_29212,Item_18750
373,Item_36990,Item_42396,Item_14802
374,Item_38001,Item_5550,Item_20242
375,Item_10341,Item_2159,Item_30169
376,Item_11646,Item_6033,Item_44807
377,Item_19245,Item_13227,Item_8892
378,Item_32535,Item_20679,Item_8975
379,Item_12263,Item_9262,Item_43950
380,Item_28715,Item_42566,Item_43729
381,Item_26542,Item_35998,Item_26743
382,Item_8063,Item_14807,Item_12240
383,Item_44399,Item_3716,Item_154
384,Item_25883,Item_24531,Item_14111
385,Item_41273,Item_19664,Item_26828
386,Item_6284,Item_17986,Item_6588
387,Item_24102,Item_4471,Item_41716
388,Item_18630,Item_8179,Item_27721
389,Item_12659,Item_43716,Item_8220
390,Item_7854,Item_45843,Item_5948
391,Item_45770,Item_3588,Item_30406
392,Item_26595,Item_20022,Item_26432
393,Item_41983,Item_49430,Item_7128
394,Item_18544,Item_37080,Item_23438
395,Item_41436,Item_34094,Item_46033
396,Item_17121,Item_46590,Item_2506
397,Item_32877,Item_31135,Item_2705
398,Item_10598,Item_41366,Item_39681
399,Item_26551,Item_14361,Item_21900
400,Item_27632,Item_49669,Item_116
401,Item_43905,Item_19877,Item_3104
402,Item_6452,Item_21703,Item_7617
403,Item_24836,Item_19646,Item_7659
404,Item_20697,Item_15958,Item_36310
405,Item_32912,Item_15145,Item_32997
406,Item_47504,Item_23639,Item_30696
407,Item_27789,Item_8862,Item_4535
408,Item_29183,Item_42299,Item_2013
409,Item_44624,Item_14483,Item_37321
410,Item_49589,Item_22643,Item_26571
411,Item_8615,Item_15124,Item_18060
412,Item_36926,Item_18317,Item_36736
413,Item_44713,Item_28091,Item_7476
414,Item_36255,Item_45355,Item_25446
415,Item_9475,Item_20136,Item_32353
416,Item_23218,Item_22003,Item_20408
417,Item_4587,Item_41361,Item_16244
418,Item_36653,Item_33146,Item_32775
419,Item_16328,Item_40251,Item_44366
420,Item_46986,Item_38907,Item_43032
421,Item_8609,Item_33392,Item_45659
422,Item_38294,Item_6933,Item_13758
423,Item_14055,Item_33737,Item_45720
424,Item_10126,Item_27104,Item_48029
425,Item_38454,Item_29119,Item_47646
426,Item_15386,Item_31274,Item_12755
427,Item_25975,Item_35899,Item_48806
428,Item_1162,Item_34271,Item_27224
429,Item_48123,Item_35039,Item_43755
430,Item_22197,Item_8823,Item_46797
431,Item_16406,Item_42831,Item_16111
432,Item_22139,Item_24491,Item_31611
433,Item_40456,Item_12211,Item_20142
434,Item_46192,Item_15802,Item_42167
435,Item_37249,Item_1046,Item_49838
436,Item_24031,Item_38128,Item_5263
437,Item_34991,Item_30312,Item_12012
438,Item_14466,Item_12891,Item_15269
439,Item_14321,Item_20499,Item_18127
440,Item_43029,Item_40802,Item_14535
441,Item_1959,Item_18300,Item_376
442,Item_6715,Item_41959,Item_39874
443,Item_38717,Item_30246,Item_34994
444,Item_22530,Item_49931,Item_19503
445,Item_1321,Item_47294,Item_7699
446,Item_46646,Item_43886,Item_30983
447,Item_46923,Item_3482,Item_31632
448,Item_39536,Item_13532,Item_12472
449,Item_22630,Item_33172,Item_11180
450,Item_28782,Item_8818,Item_41625
451,Item_12183,Item_25320,Item_27609
452,Item_32635,Item_39823,Item_34307
453,Item_1589,Item_1189,Item_49971
454,Item_36393,Item_34170,Item_4760
455,Item_14849,Item_16023,Item_15917
456,Item_21238,Item_2571,Item_10499
457,Item_38153,Item_17667,Item_16188
458,Item_45305,Item_41605,Item_41062
459,Item_19733,Item_16077,Item_11762
460,Item_24563,Item_8370,Item_40068
461,Item_13371,Item_7196,Item_28494
462,Item_7677,Item_16295,Item_4805
463,Item_3376,Item_25502,Item_14029
464,Item_26,Item_4341,Item_21816
465,Item_4942,Item_16905,Item_1742
466,Item_17110,Item_8401,Item_41155
467,Item_3258,Item_43040,Item_13421
468,Item_22740,Item_40960,Item_26947
469,Item_21169,Item_19724,Item_27280
470,Item_37617,Item_16365,Item_12873
471,Item_35718,Item_26939,Item_37513
472,Item_10960,Item_18395,Item_20580
473,Item_48092,Item_37574,Item_32433
474,Item_16863,Item_8815,Item_4299
475,Item_2197,Item_3057,Item_41155
476,Item_49518,Item_42685,Item_6861
477,Item_45895,Item_8979,Item_22437
478,Item_43753,Item_47648,Item_48780
479,Item_9615,Item_30858,Item_22724
480,Item_14455,Item_47329,Item_32803
481,Item_37296,Item_323,Item_28321
482,Item_35527,Item_41426,Item_18552
483,Item_46548,Item_26525,Item_2473
484,Item_30959,Item_13010,Item_24309
485,Item_37895,Item_12929,Item_5191
486,Item_7888,Item_28061,Item_19269
487,Item_26096,Item_8125,Item_6614
488,Item_31969,Item_28204,Item_33833
489,Item_473,Item_54,Item_18116
490,Item_38677,Item_44724,Item_32315
491,Item_41991,Item_4753,Item_44513
492,Item_46778,Item_23804,Item_42023
493,Item_23706,Item_17002,Item_10759
494,Item_15058,Item_33977,Item_9774
495,Item_4958,Item_20738,Item_44616
496,Item_26072,Item_8807,Item_21136
497,Item_43014,Item_9015,Item_32576
498,Item_2764,Item_18038,Item_12215
499,Item_46467,Item_17113,Item_13241
500,Item_44419,Item_40056,Item_10270
501,Item_4992,Item_37658,Item_34970
502,Item_30979,Item_5767,Item_22992
503,Item_42619,Item_9959,Item_48132
504,Item_26304,Item_34599,Item_40989
505,Item_10499,Item_22130,Item_2209
506,Item_47433,Item_23420,Item_16197
507,Item_46248,Item_40309,Item_45787
508,Item_24932,Item_48930,Item_16302
509,Item_14489,Item_47825,Item_48544
510,Item_29238,Item_19876,Item_39740
511,Item_10843,Item_16054,Item_32729
512,Item_43308,Item_39926,Item_5164
513,Item_33336,Item_28870,Item_17934
514,Item_21576,Item_31658,Item_40033
515,Item_40102,Item_36526,Item_46639
516,Item_16463,Item_13547,Item_22553
517,Item_14561,Item_19184,Item_23091
518,Item_18491,Item_27719,Item_16036
519,Item_18930,Item_26608,Item_3526
520,Item_25032,Item_8303,Item_36156
521,Item_43162,Item_39025,Item_10727
522,Item_37776,Item_12872,Item_26622
523,Item_9074,Item_48532,Item_46375
524,Item_33447,Item_2629,Item_49616
525,Item_42358,Item_19624,Item_5197
526,Item_231,Item_28948,Item_48944
527,Item_45672,Item_46783,Item_34021
528,Item_37173,Item_16779,Item_1327
529,Item_10155,Item_11974,Item_24821
530,Item_28391,Item_274,Item_39333
531,Item_44028,Item_49420,Item_43938
532,Item_2914,Item_28253,Item_13518
533,Item_7488,Item_21736,Item_38745
534,Item_48271,Item_12036,Item_26824
535,Item_42576,Item_42782,Item_39593
536,Item_43908,Item_29713,Item_48107
537,Item_5865,Item_5056,Item_19486
538,Item_24088,Item_28220,Item_12223
539,Item_36470,Item_45504,Item_30360
540,Item_6389,Item_20881,Item_18499
541,Item_39737,Item_44059,Item_11061
542,Item_14220,Item_35305,Item_15190
543,Item_3303,Item_47001,Item_1199
544,Item_34507,Item_23183,Item_21681
545,Item_31331,Item_5681,Item_33416
546,Item_2005,Item_30935,Item_6819
547,Item_26113,Item_46575,Item_48051
548,Item_9424,Item_6981,Item_28711
549,Item_4841,Item_9287,Item_25603
550,Item_20249,Item_40449,Item_11231
551,Item_12258,Item_29127,Item_4037
552,Item_31712,Item_43569,Item_44208
553,Item_21554,Item_18222,Item_6687
554,Item_26729,Item_49678,Item_18467
555,Item_33035,Item_2020,Item_10173
556,Item_45150,Item_15088,Item_26104
557,Item_15548,Item_46793,Item_38089
558,Item_2992,Item_14134,Item_5875
559,Item_36109,Item_46846,Item_7788
560,Item_43562,Item_45786,Item_28373
561,Item_22251,Item_49459,Item_39641
562,Item_14439,Item_48436,Item_15533
563,Item_14303,Item_25676,Item_9897
564,Item_43366,Item_33697,Item_4715
565,Item_27039,Item_41501,Item_6348
566,Item_47170,Item_42107,Item_18098
567,Item_15011,Item_46144,Item_39789
568,Item_44947,Item_48268,Item_27174
569,Item_38212,Item_21897,Item_35242
570,Item_43127,Item_19318,Item_22820
571,Item_5704,Item_19575,Item_9744
572,Item_28410,Item_3872,Item_38994
573,Item_41759,Item_9682,Item_46534
574,Item_15761,Item_1759,Item_7877
575,Item_48786,Item_40913,Item_14132
576,Item_25787,Item_33213,Item_46809
577,Item_11818,Item_28151,Item_2033
578,Item_46646,Item_3167,Item_7680
579,Item_28428,Item_7430,Item_18218
580,Item_33004,Item_26860,Item_31300
581,Item_25372,Item_43151,Item_40029
582,Item_31243,Item_47443,Item_43206
583,Item_4529,Item_23598,Item_5609
584,Item_31046,Item_21892,Item_47285
585,Item_6183,Item_16279,Item_38538
586,Item_16037,Item_30822,Item_9141
587,Item_8710,Item_8105,Item_33642
588,Item_38381,Item_11432,Item_36096
589,Item_38151,Item_46833,Item_35755
590,Item_5366,Item_24883,Item_29442
591,Item_46838,Item_1574,Item_25410
592,Item_24315,Item_49739,Item_4950
593,Item_48666,Item_21088,Item_46085
594,Item_29647,Item_12028,Item_11399
595,Item_2542,Item_30558,Item_29895
596,Item_24719,Item_44838,Item_23450
597,Item_35859,Item_3017,Item_40055
598,Item_37380,Item_32408,Item_39088
599,Item_22802,Item_31897,Item_9655
600,Item_31553,Item_17384,Item_15083
601,Item_38901,Item_33593,Item_46497
602,Item_18545,Item_21255,Item_29953
603,Item_25288,Item_18466,Item_2282
604,Item_22985,Item_10775,Item_26622
605,Item_6558,Item_19342,Item_17484
606,Item_37364,Item_5670,Item_31340
607,Item_13630,Item_28162,Item_36621
608,Item_40121,Item_7722,Item_47801
609,Item_16404,Item_19758,Item_14567
610,Item_38028,Item_36382,Item_44140
611,Item_41811,Item_37564,Item_8759
612,Item_7372,Item_23920,Item_40110
613,Item_19122,Item_15417,Item_12418
614,Item_41463,Item_35252,Item_27511
615,Item_21140,Item_24056,Item_12013
616,Item_5451,Item_40754,Item_37399
617,Item_41028,Item_13843,Item_21968
618,Item_9085,Item_8818,Item_18040
619,Item_35953,Item_19603,Item_17168
620,Item_8735,Item_15693,Item_37588
621,Item_18275,Item_722,Item_6545
622,Item_43022,Item_15148,Item_18464
623,Item_38158,Item_26966,Item_2952
624,Item_32150,Item_31422,Item_24896
625,Item_23576,Item_31179,Item_49941
626,Item_44488,Item_45431,Item_41619
627,Item_38011,Item_23047,Item_17940
628,Item_23861,Item_791,Item_29032
629,Item_24596,Item_22568,Item_20368
630,Item_32126,Item_27608,Item_41831
631,Item_11259,Item_35645,Item_9840
632,Item_42391,Item_38527,Item_49742
633,Item_44495,Item_8017,Item_5927
634,Item_20083,Item_37450,Item_13405
635,Item_31446,Item_21593,Item_46940
636,Item_30730,Item_14815,Item_27849
637,Item_37337,Item_9760,Item_11178
638,Item_20144,Item_38277,Item_47463
639,Item_33548,Item_34066,Item_158
640,Item_11283,Item_8773,Item_40600
641,Item_45664,Item_38471,Item_46066
642,Item_40724,Item_33885,Item_49960
643,Item_48015,Item_13811,Item_17111
644,Item_268,Item_13230,Item_21498
645,Item_34976,Item_12652,Item_38781
646,Item_38591,Item_28941,Item_18916
647,Item_33830,Item_10654,Item_42052
648,Item_18175,Item_28558,Item_49704
649,Item_10442,Item_44878,Item_10400
650,Item_38381,Item_4453,Item_40496
651,Item_7812,Item_16919,Item_37354
652,Item_9775,Item_9442,Item_8641
653,Item_21764,Item_23971,Item_37053
654,Item_34521,Item_36928,Item_32112
655,Item_32631,Item_8241,Item_20592
656,Item_46166,Item_3577,Item_12294
657,Item_37728,Item_48476,Item_4349
658,Item_6551,Item_10029,Item_23411
659,Item_23191,Item_11900,Item_20176
660,Item_39802,Item_45381,Item_10588
661,Item_13302,Item_30069,Item_31819
662,Item_6752,Item_13782,Item_12736
663,Item_20102,Item_46498,Item_25671
664,Item_31601,Item_19960,Item_42332
665,Item_39331,Item_4253,Item_8097
666,Item_39144,Item_10547,Item_8039
667,Item_42550,Item_30711,Item_12409
668,Item_11383,Item_26151,Item_2527
669,Item_27073,Item_4949,Item_15290
670,Item_6415,Item_30127,Item_37997
671,Item_7951,Item_46925,Item_5298
672,Item_43834,Item_2836,Item_22061
673,Item_37238,Item_49225,Item_2316
674,Item_14393,Item_37467,Item_31048
675,Item_49338,Item_15434,Item_11917
676,Item_25257,Item_25263,Item_29133
677,Item_41605,Item_39344,Item_48051
678,Item_36827,Item_38715,Item_12336
679,Item_26155,Item_39838,Item_12648
680,Item_48032,Item_22690,Item_39761
681,Item_45893,Item_40709,Item_7838
682,Item_31912,Item_17602,Item_17777
683,Item_11106,Item_49331,Item_3552
684,Item_30778,Item_43777,Item_20618
685,Item_25828,Item_30033,Item_39389
686,Item_24003,Item_48997,Item_44177
687,Item_10374,Item_12475,Item_38509
688,Item_30317,Item_14707,Item_32925
689,Item_22773,Item_1223,Item_47396
690,Item_28177,Item_35595,Item_16011
691,Item_23717,Item_22624,Item_2761
692,Item_37521,Item_43254,Item_1545
693,Item_47257,Item_43365,Item_20818
694,Item_37484,Item_12881,Item_26942
695,Item_37303,Item_11165,Item_36739
696,Item_10796,Item_26565,Item_27383
697,Item_12285,Item_39777,Item_39951
698,Item_1360,Item_47926,Item_17020
699,Item_5397,Item_31778,Item_18579
700,Item_5142,Item_23807,Item_26580
